"","1","2","3","4","5","6","ID","city","buffer","7","8","total","grey","green","blue"
"193",42,2,22,5,80,0,"GE_GaLH3","GE","Buffer50",0,0,151,42,109,0
"194",254,18,325,0,23,4,"GE_PaHL3","GE","Buffer50",148,0,772,258,366,148
"195",172,2,33,0,10,0,"GE_EsHL2","GE","Buffer50",42,0,259,172,45,42
"196",72,0,61,0,18,0,"GE_GaHL2","GE","Buffer50",0,0,151,72,79,0
"197",210,0,47,0,3,0,"GE_EsHL3","GE","Buffer50",0,0,260,210,50,0
"198",109,4,13,0,27,0,"GE_RuHx2","GE","Buffer50",0,0,153,109,44,0
"199",102,13,12,0,51,0,"GE_GaHL3","GE","Buffer50",0,0,178,102,76,0
"200",156,8,32,0,33,0,"Ge_RuHx5","GE","Buffer50",0,0,229,156,73,0
"201",256,16,23,3,227,0,"GE_PaLL3","GE","Buffer50",0,0,525,256,269,0
"202",93,0,52,0,18,0,"GE_GaHH2","GE","Buffer50",0,0,163,93,70,0
"203",310,1,7,0,29,0,"GE_PaHL2","GE","Buffer50",0,0,347,310,37,0
"204",713,41,475,1,348,11,"GE_PaHH2","GE","Buffer50",0,0,1589,724,865,0
"205",149,11,113,6,89,0,"GE_EsLH3","GE","Buffer50",0,0,368,149,219,0
"206",419,0,152,0,24,0,"GE_EsHH3","GE","Buffer50",0,0,595,419,176,0
"207",199,16,95,2,103,10,"GE_EsLH2","GE","Buffer50",0,0,425,209,216,0
"208",259,6,96,2,127,0,"GE_EsLL2","GE","Buffer50",0,0,490,259,231,0
"209",231,42,181,4,261,3,"GE_PaLH2","GE","Buffer50",0,0,722,234,488,0
"210",113,2,47,1,47,1,"GE_EsHH1","GE","Buffer50",0,0,211,114,97,0
"211",81,4,36,3,64,0,"GE_GaLL1","GE","Buffer50",0,0,188,81,107,0
"212",46,0,51,2,71,0,"GE_GaLL3","GE","Buffer50",0,0,170,46,124,0
"213",226,17,32,1,54,6,"GE_RuHx6","GE","Buffer50",5,0,341,232,104,5
"214",105,5,50,0,47,0,"GE_RuLx6","GE","Buffer50",0,0,207,105,102,0
"215",154,21,17,2,33,5,"GE_RuHx3","GE","Buffer50",0,0,232,159,73,0
"216",172,0,45,0,31,0,"GE_EsHH2","GE","Buffer50",0,0,248,172,76,0
"217",138,5,273,0,25,0,"GE_PaHH3","GE","Buffer50",0,0,441,138,303,0
"218",119,0,39,0,11,0,"GE_GaHH3","GE","Buffer50",0,0,169,119,50,0
"219",88,69,11,0,37,1,"GE_RuLx2","GE","Buffer50",0,0,206,89,117,0
"220",147,5,86,0,85,2,"GE_EsLH1","GE","Buffer50",0,0,325,149,176,0
"221",166,2,38,0,16,0,"GE_RuHx4","GE","Buffer50",0,0,222,166,56,0
"222",19,11,9,0,135,0,"GE_GaLL2","GE","Buffer50",0,0,174,19,155,0
"223",37,0,70,0,78,0,"GE_GaHL1","GE","Buffer50",0,0,185,37,148,0
"224",34,7,52,0,80,0,"GE_GaHH1","GE","Buffer50",0,0,173,34,139,0
"225",43,7,0,0,73,0,"GE_AlHH2","GE","Buffer50",0,0,123,43,80,0
"226",39,13,0,0,78,0,"GE_AlHL2","GE","Buffer50",0,0,130,39,91,0
"227",17,18,24,1,63,7,"GE_AlHH3","GE","Buffer50",0,0,130,24,106,0
"228",68,1,0,0,63,0,"GE_AlHL1","GE","Buffer50",0,0,132,68,64,0
"229",34,3,26,1,72,0,"GE_AlHL3","GE","Buffer50",0,0,136,34,102,0
"230",46,31,2,0,47,1,"GE_AlLL2","GE","Buffer50",0,0,127,47,80,0
"231",59,14,18,0,29,0,"GE_AlLL3","GE","Buffer50",0,0,120,59,61,0
"232",67,12,19,0,28,0,"GE_AlLH3","GE","Buffer50",0,0,126,67,59,0
"233",13,16,2,2,93,0,"GE_AlLH2","GE","Buffer50",0,0,126,13,113,0
"234",30,7,9,4,72,0,"GE_AlLL1","GE","Buffer50",0,0,122,30,92,0
"235",20,8,58,3,43,0,"GE_AlLH1","GE","Buffer50",0,0,132,20,112,0
"236",21,5,0,0,107,0,"GE_AlHH1","GE","Buffer50",0,0,133,21,112,0
"237",251,23,202,12,284,1,"GE_EsLL3","GE","Buffer50",2,0,775,252,521,2
"238",256,82,354,8,631,1,"GE_PaLL1","GE","Buffer50",0,0,1332,257,1075,0
"239",53,100,216,0,174,0,"GE_RuLx5","GE","Buffer50",0,0,543,53,490,0
"240",37,1,318,1,74,0,"GE_RuLx4","GE","Buffer50",0,0,431,37,394,0
"241",799,28,160,1,492,0,"LG_EsLL2","LG","Buffer100",0,0,1480,799,681,0
"242",650,1,58,0,38,0,"LG_PaHL1","LG","Buffer100",0,0,747,650,97,0
"243",518,2,15,1,27,1,"LG_EsHL2","LG","Buffer100",0,0,564,519,45,0
"244",352,21,36,0,422,0,"LG_PaLH2","LG","Buffer100",0,0,831,352,479,0
"245",266,10,171,0,453,0,"LG_PaLL1","LG","Buffer100",0,0,900,266,634,0
"246",1337,20,425,0,360,20,"LG_PaHH1","LG","Buffer100",731,2,2895,1357,807,731
"247",390,23,346,1,366,15,"LG_PaLL3","LG","Buffer100",0,0,1141,405,736,0
"248",214,24,83,0,404,5,"LG_PaLL2","LG","Buffer100",0,0,730,219,511,0
"249",207,193,457,1,99,11,"LG_PaLH3","LG","Buffer100",19,1,988,218,751,19
"250",529,5,111,1,158,1,"LG_PaHL3","LG","Buffer100",0,0,805,530,275,0
"251",482,13,65,0,107,0,"LG_PaHL2","LG","Buffer100",0,0,667,482,185,0
"252",537,1,36,0,36,0,"LG_EsHH2","LG","Buffer100",0,0,610,537,73,0
"253",670,4,16,0,95,2,"LG_EsHL1","LG","Buffer100",0,0,787,672,115,0
"254",185,14,200,0,465,6,"LG_EsLH1","LG","Buffer100",0,0,870,191,679,0
"255",264,10,230,7,206,7,"LG_EsLH2","LG","Buffer100",0,0,724,271,453,0
"256",215,3,182,0,175,3,"LG_EsLH3","LG","Buffer100",0,0,578,218,360,0
